Code,Year,"Health insurance coverage (ILO, 2014)",BCG (% of one-year-olds immunized),HepB3 (% of one-year-olds immunized),Hib3 (% of one-year-olds immunized),MCV1 (% of one-year-olds immunized),PCV3 (% of one-year-olds immunized),Pol3 (% of one-year-olds immunized),RCV1 (% of one-year-olds immunized),RotaC (% of one-year-olds immunized),YFV (% of one-year-olds immunized),DTP3 (% of one-year-olds immunized),Entity,Estimated maternal deaths,Under-five mortality rate - Total - Deaths per 100 live births,Births attended by skilled health staff (% of total),Deaths - Sex: all - Age: 0 - Variant: estimates,Under-fifteen mortality rate,Region,Age_in_Months_Days_Years,Cause of Death,FactValueNumeric,Value
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Meningitis/encephalitis,0.002,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Malaria,0.0,0.0
MDG,2009,3.7,78.0,77.0,77.0,63.0,,76.0,95.0,,,77.0,Madagascar,3934.81,7.2616205,43.9,39565.0,8.916715,Africa,1-59 months,Measles,0.008,0.0
MDG,2009,3.7,78.0,77.0,77.0,63.0,,76.0,95.0,,,77.0,Madagascar,3934.81,7.2616205,43.9,39565.0,8.916715,Africa,1-59 months,Malaria,0.025,0.0
MDG,2009,3.7,78.0,77.0,77.0,63.0,,76.0,95.0,,,77.0,Madagascar,3934.81,7.2616205,43.9,39565.0,8.916715,Africa,0-27 days,Other noncommunicable diseases,0.0002,0.0
MDG,2009,3.7,78.0,77.0,77.0,63.0,,76.0,95.0,,,77.0,Madagascar,3934.81,7.2616205,43.9,39565.0,8.916715,Africa,0-27 days,Injuries,0.007,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-27 days,Meningitis/encephalitis,0.009,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-27 days,Malaria,0.0,0.0
MDG,2009,3.7,78.0,77.0,77.0,63.0,,76.0,95.0,,,77.0,Madagascar,3934.81,7.2616205,43.9,39565.0,8.916715,Africa,0-27 days,Tetanus,0.009,0.0
MDG,2009,3.7,78.0,77.0,77.0,63.0,,76.0,95.0,,,77.0,Madagascar,3934.81,7.2616205,43.9,39565.0,8.916715,Africa,0-27 days,Measles,0.0,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Birth asphyxia and birth trauma,0.12,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Sepsis and other infectious conditions of the newborn,0.054,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,"Other communicable, perinatal and nutritional conditions",0.091,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Diarrhoeal diseases,0.09,0.1
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Tetanus,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Measles,0.0,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Malaria,0.0,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-27 days,Sepsis and other infectious conditions of the newborn,0.14,0.1
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Other noncommunicable diseases,0.005,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Injuries,0.002,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Malaria,0.0,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Prematurity,0.022,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,Tetanus,0.0,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,Measles,0.004,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,Diarrhoeal diseases,0.14,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Prematurity,0.15,0.1
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,1-59 months,Malaria,0.0,0.0
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,0-4 years,HIV/AIDS,0.0,0.0
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,0-27 days,Diarrhoeal diseases,0.0,0.0
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,0-27 days,Tetanus,0.0,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Measles,0.002,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Meningitis/encephalitis,0.021,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Diarrhoeal diseases,0.042,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Tetanus,0.0,0.0
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,0-27 days,"Other communicable, perinatal and nutritional conditions",0.061,0.1
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,0-27 days,Injuries,0.051,0.1
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,1-59 months,Sepsis and other infectious conditions of the newborn,0.0,0.0
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,1-59 months,HIV/AIDS,0.0,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,Other noncommunicable diseases,0.05,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,Injuries,0.059,0.1
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,1-59 months,Measles,0.0,0.0
LTU,2009,95.0,99.0,95.0,98.0,96.0,,98.0,96.0,,,98.0,Lithuania,3.1760092,0.6675801,100.0,183.0,0.89080197,Europe,1-59 months,Meningitis/encephalitis,0.022,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Tetanus,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Measles,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Meningitis/encephalitis,0.011,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Malaria,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,"Other communicable, perinatal and nutritional conditions",0.046,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,HIV/AIDS,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Injuries,0.11,0.1
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Acute lower respiratory infections,0.069,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Congenital anomalies,0.045,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Tetanus,0.0002,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-27 days,Congenital anomalies,0.38,0.4
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-4 years,Congenital anomalies,0.37,0.4
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,"Other communicable, perinatal and nutritional conditions",0.045,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Injuries,0.038,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Measles,0.005,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Meningitis/encephalitis,0.029,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Congenital anomalies,0.049,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-4 years,Other noncommunicable diseases,0.031,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,HIV/AIDS,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Diarrhoeal diseases,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Acute lower respiratory infections,0.031,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Birth asphyxia and birth trauma,0.13,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,HIV/AIDS,0.14,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Diarrhoeal diseases,0.15,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-27 days,"Other communicable, perinatal and nutritional conditions",0.051,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-27 days,Congenital anomalies,0.064,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,0-27 days,Acute lower respiratory infections,0.069,0.1
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,"Other communicable, perinatal and nutritional conditions",0.12,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Other noncommunicable diseases,0.035,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Tetanus,0.004,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,Meningitis/encephalitis,0.028,0.0
LSO,2009,17.6,92.0,91.0,91.0,84.0,,89.0,95.0,,,91.0,Lesotho,635.7738,10.010841,61.5,4480.0,11.008372,Africa,1-59 months,Malaria,0.0,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Injuries,0.01,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,HIV/AIDS,0.002,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Diarrhoeal diseases,0.09,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Sepsis and other infectious conditions of the newborn,0.15,0.2
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Other noncommunicable diseases,0.059,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Injuries,0.094,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Prematurity,0.27,0.3
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Birth asphyxia and birth trauma,0.31,0.3
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Other noncommunicable diseases,0.27,0.3
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Prematurity,0.25,0.3
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Prematurity,0.37,0.4
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Congenital anomalies,0.41,0.4
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,"Other communicable, perinatal and nutritional conditions",0.094,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Congenital anomalies,0.068,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,"Other communicable, perinatal and nutritional conditions",0.045,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Other noncommunicable diseases,0.0002,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-27 days,Acute lower respiratory infections,0.012,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Prematurity,0.032,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Birth asphyxia and birth trauma,0.014,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Sepsis and other infectious conditions of the newborn,0.0,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Acute lower respiratory infections,0.22,0.2
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Acute lower respiratory infections,0.16,0.2
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Birth asphyxia and birth trauma,0.09,0.1
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Other noncommunicable diseases,0.095,0.1
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Measles,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Meningitis/encephalitis,0.028,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,1-59 months,Malaria,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Sepsis and other infectious conditions of the newborn,0.016,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Birth asphyxia and birth trauma,0.023,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Sepsis and other infectious conditions of the newborn,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,HIV/AIDS,0.0,0.0
CRI,2009,100.0,91.0,87.0,87.0,81.0,48.0,80.0,81.0,,,86.0,Costa Rica,19.746044,1.0738909,99.1,678.0,1.2770226,Americas,0-4 years,Diarrhoeal diseases,0.014,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-4 years,Prematurity,0.22,0.2
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-27 days,Prematurity,0.29,0.3
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,1-59 months,Congenital anomalies,0.35,0.3
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,1-59 months,Other noncommunicable diseases,0.31,0.3
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-27 days,Meningitis/encephalitis,0.0,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-27 days,Malaria,0.0,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-27 days,Birth asphyxia and birth trauma,0.075,0.1
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-27 days,Sepsis and other infectious conditions of the newborn,0.059,0.1
ARG,2009,96.8,99.0,94.0,94.0,96.0,,97.0,96.0,,8.0,94.0,Argentina,410.5084,1.4964536,97.9,10174.0,1.7574325,Americas,0-27 days,Acute lower respiratory infections,0.02,0.0
ARG,2009,96.8,99.0,94.0,94.0,96.0,,97.0,96.0,,8.0,94.0,Argentina,410.5084,1.4964536,97.9,10174.0,1.7574325,Americas,1-59 months,Birth asphyxia and birth trauma,0.01,0.0
ARG,2009,96.8,99.0,94.0,94.0,96.0,,97.0,96.0,,8.0,94.0,Argentina,410.5084,1.4964536,97.9,10174.0,1.7574325,Americas,0-27 days,Other noncommunicable diseases,0.002,0.0
ARG,2009,96.8,99.0,94.0,94.0,96.0,,97.0,96.0,,8.0,94.0,Argentina,410.5084,1.4964536,97.9,10174.0,1.7574325,Americas,0-27 days,Injuries,0.006,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,1-59 months,Tetanus,0.0,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,1-59 months,Measles,0.0,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-27 days,"Other communicable, perinatal and nutritional conditions",0.18,0.2
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,1-59 months,Injuries,0.15,0.2
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Malaria,0.042,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Congenital anomalies,0.1,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-27 days,Acute lower respiratory infections,0.072,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,"Other communicable, perinatal and nutritional conditions",0.13,0.1
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-4 years,Malaria,0.0,0.0
HRV,2009,97.0,99.0,97.0,96.0,95.0,,96.0,95.0,,,96.0,Croatia,4.1425395,0.56602275,99.9,213.0,0.68874925,Europe,0-4 years,Acute lower respiratory infections,0.025,0.0
ARG,2009,96.8,99.0,94.0,94.0,96.0,,97.0,96.0,,8.0,94.0,Argentina,410.5084,1.4964536,97.9,10174.0,1.7574325,Americas,0-27 days,Meningitis/encephalitis,0.0002,0.0
ARG,2009,96.8,99.0,94.0,94.0,96.0,,97.0,96.0,,8.0,94.0,Argentina,410.5084,1.4964536,97.9,10174.0,1.7574325,Americas,0-27 days,Malaria,0.0,0.0
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,1-59 months,Malaria,0.07,0.1
KEN,2009,39.4,99.0,88.0,88.0,88.0,,89.0,95.0,,1.0,88.0,Kenya,6850.5244,5.5168743,43.8,60770.0,6.5154243,Africa,0-4 years,Prematurity,0.12,0.1
